str_no_string|NO STRING!
str_rumor_talki_red_6|он услышал от гильдмастера, что прошлой ночью к кузнецу пришли ребята в красном. Кузнец отказывался платить за своего нового ученика, утверждая, что мальчик просто пришел к нему с просьбой дать ему работу. Эх, жалко дяденьку. Они сломали ему правую руку, и теперь он ковать-то не сможет.
str_rumor_talki_red_7|он собственными глазами видел, как мальчики в красном избивали владельца магазина прямо на пороге его собственного дома. А местный шериф проходил мимо и не видел ничего, насколько может не видеть подкупленный человек. Даже стражам порядка в этом городе нельзя доверять.
str_rumor_talki_red_8|он мне сказал, чтобы я никогда не задерживал оплату стражникам. Я и заплатил, и что, я сплю спокойно? Нет, ведь он говорил о Красном братстве! Я покинул Итос, что бы уйти подальше от этих псов, а здесь они устроили ларек прямо у меня в дворике. Нет, обычному человеку здесь не победить.
str_rumor_talki_red_9|он заметил некие предпочтения работорговцев. Раньше они продавали рабов для галер, а теперь используют их как мирмидонцев. Вдруг солдат начали больше оценивать. Послушай-ка сюда, друг. Эти Красные? Они знают всех и все. Они продают наемников спокойно и тихо. О чем это тебе говорит?
str_rumor_talki_red_10|он знает некоторых ребят из братства. Они действуют организовано и сообща, но когда вы последний раз видели несколько группировок вместе? Дело в том, что эти подонки ненавидят друг друга, так же как и мы их!
str_rumor_talki_red_11|он подслушал разговор Заказчика с охотником на головы в таверне. Видно кто-то хочет купить раба по имени {playername}. Назначенная цена была приличной. С другой стороны, я слышал что {reg63?он:она} является командиром группы искателей приключений. Хорошая возможность для братства раздобыть кучу денег, не так ли?
str_rumor_talki_red_12|он говорит, что как-то сказал мяснику, братство смело действует здесь в безопасности, в городе, а за его пределами? Только пробегутся по парочке фермерских земель и назад. Они просто не могут сотрудничать вместе, что бы представлять реальную угрозу'. На следующий день его дом сгорел. Какие выводы мы сделали? Верно, мясники тоже с ними заодно.
str_rumor_talki_red_13|он видел охотника за головами с целой толпой рабов. Жалкое зрелище. Все истощенные и слабые и, видать, не ели целую неделю. А красный ублюдок отправил их обратно. Сказал, будто у него нет комнат эконом класса для бродяг. Все галеры потонули что ли?
str_rumor_talki_red_14|он слышал от гильдмастера, что двое из домов братства враждуют. Убито уже три человека, и еще двое пропали без вести. Это даже лучше чем на арене! Я бы поставил ставки, но все букмекеры тоже Красные.
str_rumor_talki_red_15|он сказал, что ребята в красном наведывались к зернохранилищу. Похоже, им показалось, что цена слишком мала, и требовали удвоить сумму. Откуда им знать цену? Просто один их караван был атакован змеиным отродьем далеко на юге.
str_rumor_talki_red_16|хорошего заработка у него уже несколько недель как не наблюдается. Братство до сих пор держит высокую цену, и никто не хочет платить. За такую цену ему придется оббегать все фермы в округе, что бы покупать товар без посредничества красных. Конечно же, это занимает много времени, но когда это фермеров волновали эти красные подонки?
str_rumor_talki_red_17|он слышал, что Красные давили на сапожника, что бы тот с ними сотрудничал. Ну да, сапожник приходится вторым кузеном Сенешаля, но неужели этого достаточно, что бы предлагать ему членство в группировке? А, ладно, это ведь его похороны будут, не мои.
str_rumor_talki_red_18|он видел в таверне капитана группы путешественников с целой ватагой красных оборванцев, связанных как пленников! Видимо их группа 'сбора урожая' нарвалась не на ту компанию. Я бы сотни и тысячи динаров отдал бы, чтоб увидеть эту картину.
str_rumor_talki_red_19|он присел со мной и сказал, что хочет выйти из игры. Я спросил, из какой игры? Но он просто повторил, что хочет выйти из игры. Бедолага. Он выглядел таким грустным, а когда пришла компания Красных, чтоб забрать его, он помрачнел еще больше. Но что я мог поделать? Если бы я произнес хоть одно слово кривое, мне пришлось бы скрываться до конца своих дней. Уж лучше он, чем я.
str_rumor_talki_red_20|он вошел и только произнес, 'Они знают'. 'Знают что?' спросил я. 'Не строй из себя дурачка, они знают что {playername} был здесь. Следующий раз сообщишь им, иначе будут проблемы'. Да если бы я знал, как выглядит этот {playername}! Да чтоб все эти Красные сгорели, и этот {playername} вместе с ними.
str_rumor_talki_red_21|он видел жрицу, бегущую от рыцаря Рассвета к членами Красного братства и кричащую: 'Все отбрасывает тень, даже Пендор. Мы не можем это убрать, это неотъемлемая наша часть. Если Красное братство не будет удовлетворять наши пороки, возникнут тысячи других банд и займут их место. На улицах начнется война, война за нашу похоть, нашу лень, наш гнев!' До того как она смогла сказать что то еще, рыцарь убил ее.
str_rumor_talki_red_22|он слышал от владельца таверны в Равенстерне, что Красное братство управляет публичными домами в Сарлеоне, набитыми нолдорскими женщинами. Он был так очарован, что при следующем посещении Сарлеона решил, что обязательно посетит их, даже если ему это будет стоить 1,000 динаров. Раньше он никогда не мог себе представить, что женщины могут быть настолько красивыми. Но возлежа с одной из них, он увидел ее острые уши, как будто вылепленные из воска и в ярости выбежал прочь из борделя, слыша смех любовницы за спиной.
str_rumor_talki_red_23|он слышал от охранника в Равенстерне, что Красное братство организовало собачьи бои. Хотя Король Грегори и пытался остановить это, но братство всегда было на шаг впереди него. И поздно ночью они будут продолжать слышать близкий вой и рычание собак, убивающих друг друга.
str_rumor_talki_red_24|он слышал от блуждающих беженцев, что он только что сбежала из лагеря рабов Красного братства. Они заставляли ее и множество других людей выращивать новую траву, которая при курении вызывала пророческие видения... и иногда сводила с ума. Очевидно, трава сильно распространена среди определенного круга знати.
str_rumor_talki_red_25|он слышал от владельца таверны в Яносе, о бесконечной вражде Красного братства и культа Змеи по всей Империи. Поколения, находившиеся под контролем Красного братства и многие местные бандиты и дилеры, до сих пор хранят верность бывшим хозяевам. Но культ Змеи контролирует высшее сословие, медленно распространяя влияние вниз, выдавливает Красное братство из его последних бастионов.
str_rumor_talki_red_26|от скрытного торговца он слышал, будто в Торбе можно купить что угодно у Красного братства, даже вещи, которыми они вообще и не владеют. Когда он спросил про Ханский кубок, торговец только посмеялся и сказал, это будет стоить 40000 динаров. За реальную цену все может быть продано и куплено среди братства.
str_rumor_talki_adven_1|он говорил, что лорд нанял компанию путешественников для поиска сокровища. У него даже есть карта с указанной зоной расположения сокровища. Интересно, заработает ли он на этом, или останется в убытке?
str_rumor_talki_adven_2|он сказал что компания путешественников приготовила кое-что для какого-то {playername} и ищут {reg63?его:ее} по всей округе. Это случайно не ты?
str_rumor_talki_adven_3|он слышал, что лорд нанял компанию путешественников для сопровождения своей жены в Сарлеон, а эти красные ребята украли ее и теперь требуют выкуп.
str_rumor_talki_adven_4|он рассказал, что есть слух, будто сарлеонский торговец пытался обмануть кого-то из компании искателей приключений и потерпел неудачу. После чего они ограбили пять караванов торговца, и аргументировали это как 'оплату за аферу'. Он и не знал, для чего их наняли.
str_rumor_talki_adven_5|он слышал, что один фермер, Янус Пернский, живет сам по себе. Он поссорился с женой, и она сбежала из дому. Хотелось бы заметить, что перед уходом она разбила тарелку о голову мужа и поставила фонарь под глазом. А теперь подалась в компанию искателей приключений... боюсь и представить, что ожидает ее суженого.
str_rumor_talki_adven_6|он подслушал разговор одной компании путешественников в таверне Сендерфола. Они говорили что-то о лорде, заплатившего выкуп за выкраденную жену.
str_rumor_talki_adven_7|он сказал, что воины Джату перерезали одну компанию искателей приключений, блуждающую по их территории. Я думаю, они искали там сокровища, а нашли смерть от Джату!
str_rumor_talki_adven_8|он слышал, как поговаривают, будто опасно искать развалины нолдорских городов, потому что компании искателей приключений обшаривают эти местности в поисках артефактов и сокровищ. А эти ребята не любят конкуренции.
str_rumor_talki_adven_9|он сказал мне, что одна хозяйка гостиницы в Итосе рада принять компанию искателей приключений, прочесывающих ту окрестность в поисках чего-то. Ее партии продажи вина увеличились в три раза, и она уже заказывает еще больше эля.
str_rumor_talki_adven_10|он слышал от караванщика из города Цез, что на данный момент Империя кишит компаниями авантюристов. Интересно, какого черта их туда всех занесло?
str_rumor_talki_adven_11|он говорил, будто один легионер рассказал ему, что группы искателей приключений бьются с рыцарями отступниками в Империи. Он надеется, что они поубивают друг друга, избавив тем самым имперские легионы от лишней работы.
str_rumor_talki_adven_12|он слышал от одного уцелевшего после резни сквайра, что он единственный из компании искателей приключений, выживший после стычки с нолдорами в лесах Ларии. Авантюристы искали там нолдорские артефакты.
str_rumor_talki_adven_13|он слышал от человека, утверждавшего, что видел, как группа искателей приключений попала в засаду во время своих поисков сокровища возле Рейна. Но он сказал, кто именно на них напал.
str_rumor_talki_adven_14|он сказал, что компании искателей приключений, а особенно группа Меч Грифона, под предводительством Мерегана Киерлик, нанимает бойцов женского пола.
str_rumor_talki_adven_15|он сказал, что компании искателей приключений соблюдают данное ими слово, пока им за это платят.
str_rumor_talki_adven_16|он слышал от капитана Авендорской стражи, что он совершил ошибку, предложив одной женщине присоединиться к одной из групп искателей приключений. Она стукнула его об стену, ударила по деликатному месту и наносила раны своим кинжалом, сопровождая все свои действия нецензурными выражениями.
str_rumor_talki_adven_17|он говорил, что видел одну группу искателей приключений в таверне, топивших свое разочарование на дне кружки эля. Они не смогли найти сокровище, помеченное на купленной ими карте. И также он добавил, что путешественник, продавший им карту, конкретно попал.
str_rumor_talki_adven_18|он слышал, что владелец таверны в Валонбрее запретил группам искателей приключений входить в его заведение, потому что одна такая шайка разнесла недавно его на прошлой неделе.
str_rumor_talki_adven_19|он сказал, что на данный момент, каждый предводитель компании искателей приключений родную мать продал бы за пару сотен динаров.
str_rumor_talki_adven_20|он слышал, что в Барклае набирают молодых дворян в компании искателей приключений Пендора. Им обещают море богатства.
str_rumor_talki_bandit_1|он сказал, что нельзя винить ребят, ставших разбойниками. Лорды вешали их отцов и отбирали их земли. Что остается делать малым бедолагам?
str_rumor_talki_bandit_2|он сказал, как один из братства рассказал ему, что знает нескольких ребят, которые стали бандитами в отместку своим лордам после того, что они сделали с их сестрами. Они это называют 'Право первой ночи', или что-то в этом вроде.
str_rumor_talki_bandit_3|он сказал, что это стоило того, чтобы провести караван от Сарлеона до Авендора между бандитами и рыцарями отступниками без сопровождения компании искателей приключений.
str_rumor_talki_bandit_4|он слышал, как бандит сетовал на то, что разбойники начали объединяться с Еретиками, потому что эти безнравственные ублюдки сначала 'обрабатывают' девушек перед тем, как принести их в жертву.
str_rumor_talki_bandit_5|он слышал, как торговцы Сарлеона отправили петицию королю, чтобы тот перестал вешать разбойников. Они хотят, чтобы их топили или четвертовали публично на городских площадях...
str_rumor_talki_bandit_6|он сказал, что изгоев выгнали по весомой причине. Многих выгоняли из их деревень за плохое поведение и за воровство.
str_rumor_talki_bandit_7|он сказал, что Красное братство набирает новых бандитов только тогда, когда у них заканчиваются люди. Да что тут говорить, все они мерзкие ублюдки и их всех нужно повесить!
str_rumor_talki_bandit_8|он сказал, что некоторые группы бандитов присоединяются к кланам налетчиков Мглистых гор. Некоторые вожди клана пообещали этим бандитам даровать землю, как только они захватят весь Равенстерн. Господи, какие же они доверчивые глупцы!
str_rumor_talki_bandit_9|он слышал от одного предводителя бандитов, что кто-то по имени {playername} назвал их 'гнусными подонками'. Ха, та он наверно и не знает что значит 'гнусный', а обиделся только за 'подонка'.
str_rumor_talki_bandit_10|он слышал разок как в Явиксхольмской таверне, группа бандитов затевали отомстить какому-то {playername}, за то, что {reg63?он:она} убил дюжину их людей, а выживших продал Рамуну как рабов для галер.
str_rumor_talki_bandit_11|он как-то слышал на рынке в Ларии, что Джату убили каких-то лесных бандитов, за то, что они хотели к ним присоединиться. Довольно интересный у Джату вкус, не находите?
str_rumor_talki_bandit_12|он слышал от фермера возле Рейна, что в налете на Сафронгейт принимали участие изгои вперемешку с налетчиками Мглистых гор. Странные дела творятся.
str_rumor_talki_bandit_13|он слышал от одного Рамунского раба, что {playername} не собирается отпускать своих пленных бандитов после битвы. {reg63?Он:Она} говорит, что эти мерзавцы должны работать на галерах!
str_rumor_talki_bandit_14|он слышал одного коневода из Патани, что один Ханов Д'Шар приказал вывешивать трупы бандитов на стены Сингала. По его мнению, это должно отбить охоту у остальных бандитов грабить деревни.
str_rumor_talki_bandit_15|он сказал, что многие компании искателей приключений в некотором роде рады наличием бандитов на дороге. Их присутствие приносит не малую прибыль авантюристам, которых нанимают для защиты караванов. Также бандитов легко отлавливать и продавать в качестве рабов.
str_rumor_talki_bandit_16|он говорит, что торговцы получают только 50% прибыли от продажи бархата, из-за необходимости оплаты стражникам за сопровождение караванов. Потому и цены на этот товар столь высоки.
str_rumor_talki_bandit_17|он слышал историю одного юного бандита. Кажется, его отец умер, а его дядя заграбастал ферму отца себе. Матери пришлось пойти на панель, чтоб хотя бы прокормить себя и сына. Ну и сыночку пришлось податься в бандиты.
str_rumor_talki_bandit_18|он слышал, что в Фирдсвейне Еретики приносят в жертву членов преступных группировок, что бы ублажить своих кровожадных богов и, тем самым, это должно принести им удачу в своих грядущих рейдах.
str_rumor_talki_bandit_19|он слышал одну забавную историю о бандитах. Похоже, что они устали вечно натыкаются на группу искателей приключений Мерегана Кирлик - Меч Грифона. Бандиты видят нескольких вроде безвредных членов этой компании и нападают на них, но потом появляется остальная часть компании и бандитам приходится несладко.
str_rumor_talki_bandit_20|он говорил, что налетчики Ванскерри отлавливают бандитов и отправляют их батрачить в родные Северные края. Ну-ну. Представляю, какие работоспособные из них получаются рабы, которые наверняка еще воруют у своих хозяев.
str_rumor_talki_bandit_21|он слышал от крестьян Гасбора, что после долгой зимы, которая была в прошлом году, многие фермеры не смогли засеять пашню в надлежащее время. Из-за жадности их Господина, и его высоких налогов, крестьяне не были уверены, что протянут до следующей зимы. Некоторые говорили, что уйдут оставив свои земли на юг, к Сарлеону. Остальные, в основном молодежь, подались в разбойники, конечно.
str_rumor_talki_bandit_22|он видел женщину в Биллине, плачущую над телом парня. Другие крестьяне, стоя вокруг, наблюдали, и когда он спросил у них, что происходит, они ответили, что когда эта женщина потеряла мужа, ее старший сын связался с бандитами, чтоб прокормить семью. Он ограбил несколько караванов, и когда об этом узнал Легат Титус, правосудие было быстрым и беспощадным.
str_rumor_talki_bandit_23|он подслушал разбойников, планирующих следующий набег. Они упоминали названия нескольких близлежащих деревень, вдруг один из них предложил вместо того, чтобы совершить простой набег, захватить одну из них и превратить ее в свое личное царство. Остальные эту идею поддержали, стремясь стать настоящими лордами. В действительность они все еще были детьми.
str_rumor_talki_bandit_24|он сказал, что увидел объявление о розыске на обочине дороги. Сначала он думал, что это было изображение пропавшего ребенка, так как мальчику на вид было не больше тринадцати. Однако при ближайшем рассмотрении он осознал, что за голову этого парня лорд предложил изрядную награду. По всей видимости, это был обычный бандит, который уже убил дюжину людей.
str_rumor_talki_bandit_25|он слышал, как бард пел Балладу о Тонки Смитте. Очевидно, она была популярна в этой таверне, так как в течение нескольких минут все посетители свистели и подпевали ее. В балладе говорилось о Тонки, сыне кузнеца, который ушел к бандитам в поисках славы и богатства. Он разорял села и хлестал вино как воду, только для того, чтобы быть убитым {playername}, который даже не знал его имени.
str_rumor_talki_renegade_1|он слышал от одного проходящего каравана, что отряды рыцарей-отступников перерезали всех до единого в одной из равенстернских деревушек. А почему? Потому что им не понравилась еда, которую они украли из той деревни.
str_rumor_talki_renegade_2|он слышал в таверне Сендерфола, что кто-то помог равенстернскому лорду в битве с рыцарями отступниками. Теперь рыцари пытаются найти этого 'помощника'. По-моему его зовут {playername}. Стоп, а это случайно не ты? Если да, то будь начеку!
str_rumor_talki_renegade_3|он сказал, что если верить одному из сквайров, что покинул один из их отрядов, любой, кто встанет между рыцарями отступниками и их жертвой автоматически превращаются во врага №1. А они никогда не забывают своих врагов.
str_rumor_talki_renegade_4|он слышал, что большинство рыцарей-отступников - это изгнанные дворяне из других земель. Здесь они пытают счастья на просторах Пендора.
str_rumor_talki_renegade_5|он слышал от одного Валонбрейского оружейника, что у группы рыцарей отступников произошел конфликт с группой Путешественников, и бойня была жестокой. Скорей всего они столкнулись с ребятами Кодан.
str_rumor_talki_renegade_6|он говорил, что слышал, будто рыцари отступниками надругиваются над бедными крестьянками, которых они берут в плен. Вот извращенцы, мать их! Представляю насколько они уродливые и противные, что даже проститутки отказываются спать с ними за деньги.
str_rumor_talki_renegade_7|он слышал от Караванщика, что в Фирдсвейне группа рыцарей отступников столкнулась с группой Еретиков и изрубили их в клочья. Это, наверно, единственный хороший поступок отступников.
str_rumor_talki_renegade_8|он слышал, что в Сарлеоне даже лорды избегают столкновений с рыцарями отступниками. Это мрачные ублюдки, но бесстрашные воины.
str_rumor_talki_renegade_9|он сказал, что кучка рыцарей-отступников перерезала каких-то беженцев возле Марлеона, просто так, ради развлечения. Их тела они оставили гнить прямо на дороге.
str_rumor_talki_renegade_10|он слышал, что в Авендоре появилась новая группировка рыцарей отступников под предводительством сына какого-то лорда. Отец отказался от него и изгнал после попытки юнца отравить своего старшего брата. Маленький недоумок заслужил этого, если эта история конечно правдива...
str_rumor_talki_renegade_11|он говорил, будто Король Равенстерна, Грегорий, платит вознаграждение за каждую принесенную ему голову рыцаря отступника. Они, несомненно, как чума в Равенстерне.
str_rumor_talki_renegade_12|он слышал, будто Мариус приказал своим легионерам уничтожать каждый отряд рыцарей-отступников, что попадется им на глаза. В распутстве и порочности он сравнил их со змеиным культом.
str_rumor_talki_renegade_13|он говорил, будто один из рыцарей отступников утверждает, что он бывший член ордена Дракона. Он мстит всем вокруг за то, что его исключили из ордена.
str_rumor_talki_renegade_14|он слышал от Рамуна, что он как-то купил женщину у рыцарей отступников, над которой они настолько надругались, что она уже и непригодна для продажи.
str_rumor_talki_renegade_15|он слышал, будто сам Король Ульрик убегал от группы рыцарей отступников. Король охотился с горсткой своих лордов и решил не испытывать судьбу.
str_rumor_talki_renegade_16|он слышал в одной таверне, будто какой-то рыцарь отступник сбежал из плена от Красного братства и ищет человека по имени {playername}, чтобы ему отомстить за свое поражение. Если это ты, будь осторожен!
str_rumor_talki_renegade_17|он сказал, что слышал от одного сарлеонского торговца, будто нолдоры разбили отряд рыцарей отступников, и добили всех раненных. Будет этим ублюдкам урок.
str_rumor_talki_renegade_18|он слышал от одного легионера, что группа рыцарей отступников атаковала деревню возле Чеза, и после надругательства над всеми женщинами, они спалили деревушку.
str_rumor_talki_renegade_19|один монах из Пэинсбрюка рассказал ему, что рыцари-отступники в основном местные пендорцы, то есть они не пришли с других земель, но они специально выдают себя за инородцев. Вот олухи. Они ничего не знают о чести и о семейных традициях.
str_rumor_talki_renegade_20|он слышал, будто рыцари отступники были бы не против совместно со змеиным культом пойти против Империи, если бы вдруг такая стычка состоялась. Хотя, мне кается, что они бы встали на сторону победителей.
str_rumor_talki_special_1|он сказал, что он встретил блуждающего менестреля, который сказал ему, что могила безумного пророка Мадигана покрыта цветами.
str_rumor_talki_special_2|он встретил странника, который рассказал ему, про рассказы о таинственном, хорошо-скрытом охраной шахты, сумасшедшем старике. Который, как говорят, мастер-кузнец, он изготовляет невиданное оружие, и кажется, имеют склонность к вину.
str_rumor_talki_special_3|он услышал, что есть тренеры, которые помогут отточить навыки воинов, ещё не заслуживших уважения собственной солью.
str_rumor_talki_special_4|он встретил торговца, который сказал, что он заплатит 3000 динаров за Слезу Дракона. Он понятия не имеет, о чем говорил человек, поскольку нет никаких живых драконов в Пендоре. Кроме того, каждый знает, что Драконы не могут плакать.
str_rumor_talki_special_5|он разговаривал с несколькими наемниками в таверне. Они все согласились, что войны ухудшаются, и что еды будет недостаточно, если борьба продлится намного дольше.
str_rumor_talki_special_6|он сказал, что он посетил торговца оружием на днях и был ошеломлен, когда увидел мастерский нолдорский рунный меч в продаже. Торговец хотел больше динаров за него, чем доход от города за год!
str_rumor_talki_special_7|он сказал, что он заметил намного больше иностранцев в Пендор за прошедшие пол года. Они, кажется, прибывают в массами и выгружаются в Валонбрей.
str_rumor_talki_special_8|он сказал, что к нему на днях подошел наемник в таверне. Человек предложил продавать ему карту сокровища.
str_rumor_talki_special_9|кто-то нашептал ему за кружкой пива об истинном происхождении культа Змеи в Пендоре! Он утверждал, что женщина по имени Лаореа основала культ из-за разочарования в ее втором муже, поскольку она все еще оплакивала первого.
str_rumor_talki_special_10|когда мы разбили лагерь той ночью, он пел грустную песню Хадарк Танис - Огонь Степи, как он боролся и погиб в стране Д'Шар.
str_rumor_talki_special_11|он говорил об ордене Грифона и его основателе Калатаре Первом.
str_rumor_talki_special_12|и когда мы достали наши трубки и раскурили их, он рассказал мрачную историю об Арбагасте Валвене. Я не мог хорошо спать той ночью.
str_rumor_talki_special_13|он сказал, что его прадед боролся в Большом Сражении при Рани в 327 году с Хендриком отцом Крулза, и спас Наследника Рани от дикарей язычников. Хотя Хендрик был известен тем, что его родитель был вечно пьяный алкоголик, который, в конечном счете, повесился.
str_rumor_talki_special_14|он хвастался в Таверне Старый Дуб, что простое упоминание имени Дерака любому из идиотов Красного братства, то же самое, что рассказать про известные действия с его мамой.
str_rumor_talki_special_15|он сказал мне, что он услышал барда, поющего балладу про Охрану Денос и их капитана, Дерака.
str_rumor_talki_special_16|он сказал, что один простак по имени Noosers говорил, что увидел рыцаря Рыбы! Никто не видел его уже целую вечность!
str_rumor_talki_special_17|после распития слишком большого количества пива, он рассказал историю, как Мариус был захвачен Хендриком Жестоким. Эту историю лучше не рассказывать в Империи.
str_rumor_talki_special_18|он спел его последнюю песню для меня - Балладу Преследования. Я не думаю, что эта история убийства подойдет для суда, но я люблю эту песню.
str_rumor_talki_special_19|он сказал, что он видел лошадь, Черную Звезду. К сожалению, он не имел денег, чтобы купить ее. Я не был удивлен, учитывая его слабость к азартным играм с высокими ставками.
str_rumor_talki_special_20|он сказал, что он слышал про Кори Раба, который использовал грязное колдовство, чтобы находить воду. Волшебники и фокусники должны быть сожжены не медленно, для блага нас всех!
str_rumor_talki_special_21|он рассказал о ночи, когда рыцарь Рыбы разделил их огонь. Они не узнали его, пока он не уехал. Не обращайте на это внимания.
str_rumor_talki_special_22|он говорил о странных привычках племени Зуба Ветра из страны Д'Шар, я не буду повторять их моей жене.
str_rumor_talki_special_23|он сказал, что он слышал, что налетчики Ванскерри поклонялись злому божеству. Этот дикий язычник известен как SaxonDragon. Каждый знает, что нет никаких живых драконов сегодня.
str_rumor_talki_special_24|он сказал, что он слышал сплетни монахов в храме, те трепетали перед некой старой летучей мышью, их старшим, по имени Фавзия, известного писца, а прежде торговца ковриками.
str_rumor_talki_special_25|он сказал, что он вытаращил глаза на внушающую страх последнюю работу Алана Оружейника, но не мог позволить себе этого!
