qstr_Next_Page|Следующая страница
qstr_His_death_was_swift_|Его смерть от руки неизвестного убийцы была быстрой и жестокой. Сообщение, которое вы вскоре получили от матери, было туманным и сбивающим с толку. В нем говорилось о врагах вашего отца, которые планировали убить и её, и вас. Она посоветовала вам бежать из Барклая в Пендор. Только в Пендоре вы окажетесь вне досягаемости этих людей. Мать также настаивала, что ей лучше уйти в тень - тогда она будет в безопасности, и вам не придётся беспокоиться за неё. Она передала вам щит вашего отца с тем, чтобы его цвета осветили путь вашей судьбы, когда придёт время. Потом вы отправились в Пендор.
qstr_His_death_was_swift_a|Его смерть от руки неизвестного убийцы была быстрой и жестокой. Сообщение, которое вы вскоре получили от матери, было туманным и сбивающим с толку. В нем говорилось о врагах вашего отца, которые планировали убить и её, и вас. Она посоветовала вам бежать из Барклая в Пендор. Только в Пендоре вы окажетесь вне досягаемости этих людей. Мать также настаивала, что ей лучше уйти в тень - тогда она будет в безопасности, и вам не придётся беспокоиться за неё. Она передала вам меч вашего отца, семейную реликвию, которая защитит вашу честь и вашу жизнь. Потом вы отправились в Пендор.
qstr_His_death_was_swift_an|Его смерть от руки неизвестного убийцы была быстрой и жестокой. Сообщение, которое вы вскоре получили от матери, было туманным и сбивающим с толку. В нем говорилось о врагах вашего отца, которые планировали убить и её, и вас. Она посоветовала вам бежать из Барклая в Пендор. Только в Пендоре вы окажетесь вне досягаемости этих людей. Мать также настаивала, что ей лучше уйти в тень - тогда она будет в безопасности, и вам не придётся беспокоиться за неё. Она передала вам доспехи вашего отца, семейную реликвию, которая защитит вашу честь и вашу жизнь. Потом вы отправились в Пендор.
qstr_His_death_was_swift_and|Его смерть от руки неизвестного убийцы была быстрой и жестокой. Сообщение, которое вы вскоре получили от матери, было туманным и сбивающим с толку. В нем говорилось о врагах вашего отца, которые планировали убить и её, и вас. Она посоветовала вам бежать из Барклая в Пендор. Только в Пендоре вы окажетесь вне досягаемости этих людей. Мать также настаивала, что ей лучше уйти в тень - тогда она будет в безопасности, и вам не придётся беспокоиться за неё. Она передала вам лук вашего отца, семейную реликвию, которая защитит вашу честь и вашу жизнь. Потом вы отправились в Пендор.
qstr_His_death_was_swift_and_|Его смерть была быстрой и жестокой от рук неизвестных убийц. Сообщение, которое вы впоследствии получили от матери ещё больше все запутало, она писала вам что вынуждена уйти в подполье и советовала побыстрее уехать из Барклая в Пендор. пока охотники не пришли по вашим следам. В дополнение к письму вам передали лук отца, которым вы смогли бы защитить себя от посягательств на свою жизь. Поэтому, с тяжелым сердцем вы отправились в Пендор....
qstr_His_death_was_unexpe|Его смерть от руки неизвестного убийцы была неожиданной и жестокой. Сообщение, которое вы вскоре получили от его соратников, было туманным и сбивающим с толку. В нем говорилось о врагах вашего отца, которые планировали убить и её, и вас. Судя по всему, ваш отец не был вашим настоящим родителем, он прятал вас, поскольку вы были наследником престола. Человек, которого вы считали отцом, на самом деле был нанят для того, чтобы убить ваших настоящих родителей, и он сделал это, но не смог поднять руку на вас - на невинное дитя. Он решил пощадить вас и спрятать от тех, кто нанял его для вашего устранения. Этот человек всегда чувствовал свою вину и пытался насколько возможно обучить и натренировать вас, чтобы вы могли жить сами по себе. Недавно те, кто нанял его, узнали об этой уловке, и что вы всё еще живы. Ваш опекун оставил инструкции, переданные проверенным другом, который передал вам это письмо и вместе с ним ножи и сожаления, о всё произошедшем. В письме было сказано: “Покинь Балклай немедленно, так как твоя жизнь в опасности. Отправляйся в Пендор, где ты найдёшь безопасное убежище”.
qstr_His_death_was_unexpec|Его смерть от руки неизвестного убийцы была тихой и жестокой. Сообщение, которое вы вскоре получили от матери, было туманным и сбивающим с толку. В послании говорилось, что вы не их родной ребенок и что вас передали им, чтобы они вас вырастили. Ваши настоящие родители боялись за свою безопасность и передали вас опекунам буквально за неделю до того, как ассасины нашли их и убили. С тех пор ваши приемные родители боялись, что настанет день, когда те, кто хотел видеть вашу семью мёртвой, найдут вас и убьют. Этот день, по-видимому, наступил, когда ваша приемная мать едва избежала гибели от рук охотников, убивших вашего приемного отца, разыскивая вас. Она убеждена, что ваша жизнь в опасности, и вам немедленно нужно бежать в Пендор. Сама же она будет скрываться. Ваша приемная мать передала вам книгу о медицине, принадлежащую вашему отцу, и попросила прощения, что раньше не призналась вам в том, что вы - приемный ребенок. Итак, вы оплатили свое путешествие в Пендор, чтобы сбежать от ваших неизвестных врагов.
qstr_A_series_of_unexpect|Серия неожиданных смертей ваших близких друзей, гибель вашей любимой лошади, отмена свадьбы - всё это вместе заставило вас принять решение покинуть Барклай и начать новую жизнь где-то в другом месте. Это 'другое место' - земля, называемая Пендор…
qstr_A_series_of_unexpecte|Серия неожиданных смертей ваших близких друзей, не говоря уже о гибели вашего нареченного в дуэли за вашу честь - всё это вместе привело вас к решению начать новую жизнь где-то в другом месте. Это 'другое место' - земля, называемая Пендор…
qstr_A_series_of_unexpected|Серия неожиданных отмен выступлений, отсутствие поддержки покровителя вкупе со сфальсифицированным обвинением, - всё это запятнало вашу репутацию в Барклае до такой степени, что её уже невозможно было восстановить. Таверны и трактиры теперь были закрыты для вас, и вы не смогли больше зарабатывать средства к существованию. Жажда новых земель, новых приключений и новых покровителей - всё это привело к тому, что вы обнаружили себя на корабле, плывущем в Пендор...
qstr_An_unexpected_death_|Неожиданная смерть пациента оставила от вашей репутации одни лохмотья. Те целители, которые заняли места, на которых вы работали, взяли себе ваших пациентов (и, соответственно, весь доход от них) и распространили полуправду и неприкрытую ложь о ваших методах и учениях. После месяцев упадка, вы почувствовали жажду новых горизонтов слишком сильную, чтобы её игнорировать. Продав часть своего оборудования, вы оплатили себе место на корабле, плывущем в Пендор.
qstr_Unusual_rainfall_des|Необычный ливень разрушил склад, заполненный вашим товаром, оставив вас практически ни с чем. Конкурирующие торговцы быстро сориентировались и заняли ваше место на рынке, отбросив вас на годы назад. Разочарование практически разбило вас, и вы преломили свои думы к новым землям и новым возможностям. Однажды, вы обнаружил себя на борту корабля, плывущего в Пендор.
qstr_A_glut_of_experience|Избыток опытных строителей и архитекторов привёл к тому, что все реконструкции и стройки в Барклае оказались заняты. Недостаток влияния, недостаток серьезной работы - всё это заставило вас обратить взгляд к другим землям, чтобы начать там новую жизнь. Однажды, вы обнаружил себя на борту корабля, плывущего в Пендор.
qstr_After_you_captured_a|После того, как вы передали опасного преступника в руки правосудия емуудалось сбужать. До того, как вы его опять поймали, этот подонок убил целую семью местных крестьян. Вы чуствуете, что кровь этих людей на ваших руках и многие в Барклае будут винить именно вас в этом. После нескольких недель, проведенных в компании вашего чуства вины, вы решили начать с чистого листа отправившись в Пендор.
qstr_The_life_of_a_squire|Жизнь сквайра может быть тяжелой. Вашим сюзереном был могущественный барклайский герцог, и как у герцога, у него были могущественные враги. После того как эти люди совершили политический трюк и объявили вашего сюзерена государственным изменником, многие его вассалы вынуждены были бежать за пределы Барклая. Вы обратили свой взгляд к заморским землям, где сильная рука и немного удачи обеспечат великое будущее храбрецу. Вы оплатили себе место на корабле, плывущем в Пендор...
qstr_The_life_of_a_lady_i|Жизнь фрейлины может быть тяжелой. Вашим сюзереном был могущественный барклайский герцог, и как у герцога, у него были могущественные враги. После того как эти люди совершили политический трюк и объявили вашего сюзерена государственным изменником, многие его вассалы и вы тоже были вынуждены бежать за пределы Барклая или стать жертвами топора палача. Замаскировавшись под сквайра, вы приобрели кое-какое оружие и доспехи и оплатили себе место на корабле, плывущем в Пендор к неопределенной судьбе...
qstr_The_life_of_a_bard_i|Жизнь барда может быть тяжелой. Вашим покровителем был могущественный барклайский герцог, которому нравилась ваша компания и ваша проза. К несчастью, как у герцога, у него были могущественные враги. После того как эти люди совершили политический трюк и объявили вашего сюзерена государственным изменником, многие его вассалы и вы тоже были вынуждены бежать за пределы Барклая или стать жертвами топора палача. Вы купили себе место на первый попавшийся корабль и уже на нем обнаружили, что это судно направляется в Пендор...
qstr_The_life_of_a_healer|Жизнь целителя может быть тяжелой. Когда могущественный, но неизлечимо больной пациент неожиданно умер, его сын объявил на вас 'Кан Деваси', полагая, что это вы виновны в смерти его отца. Зная, что ваши враги не остановятся, пока вы не умрете, вы решили покинуть Барклай и начать новую жизнь в землях Пендор...
qstr_The_life_of_a_mercha|Жизнь торговца может быть непростой. Когда могущественный и порочный главарь местного Красного братства решил, что вы стоите на его пути к успеху, он нарушил правила Братства и начал кампанию по вытеснению вас из дел. После значительной потери денег и нескольких смертей ваших охранников, вы решили покинуть Барклай на следующем корабле, плывущем в Пендор...
qstr_The_life_of_an_engin|Жизнь инженера может быть непростой. Когда могущественный и порочный главарь местного Красного братства решил, что вы мешаете его планам, он объявил награду за вашу голову, и ваша жизнь стала малоприятной. К счастью, несколько нужных слов, сказанных в нужное время, позволили вам проскользнуть мимо головорезов. Схватив, что смогли из своих пожитков, вы решили, что было бы мудро покинуть Барклай на следующем корабле, плывущем в Пендор...
qstr_After_capturing_a_da|Опасный беглец, которого вы поймали для местного шерифа, погиб от вашей руки при попытке бегства. Братья преступника, состоящие в Красном Братстве, восприняли эту новость крайне плохо и стали мстить за смерть брата. Вы знали, что ваша смерть - это только дело времени,поэтому вы решили покинуть Барклай отправившись на первом попавшемся корабле в Пендор…
qstr_The_letter_reads____|В письме говорится: " {s14}, с тяжелым сердцем я вынужден рассказать вам о том, что предопределило вашу судьбу ещё до вашего рождения. Ваша мать принадлежит к древней знати Пендора и в вас течет кровь Королей Пендора. Мы покинули родину много лет назад не потому, что потеряли наш дом или иссякла наша удача, а потому что боялись злых сил, которые хотят покончить с кровью истинных королей. Будьте бдительны,  {s14}! Вокруг много тех, кто ждет вашей смерти, что бы не осталось никого из претендентов на серебрянный трон Пендора.  Прости нас, за то что не сказали тебе раньше. Те, кто подозревают что мы затаились здесь, в Барклае ищут вас. Ваша мать и я вынуждены уйти в подполье, но убийцы и кое кто похуже ищут вас. Берегитесь! Мой совет вам покинуть Барклай и плыть в Пендор. Там опасно, но именно там могут быть найдены ответы и, если повезет, вы сможете вернуть то, что было утеряно." - подпись, Ваш отец. С тяжелым сердцем вы отправляетесь в Пендор...
qstr_The_letter_reads____M|В письме говорится: " {s14}, с тяжелым сердцем я вынужден рассказать вам о том, что предопределило вашу судьбу ещё до вашего рождения. Ваша мать принадлежит к древней знати Пендора и в вас течет кровь Королей Пендора. Мы покинули родину много лет назад потому что ваша мать боялась злых сил, которые хотят покончить с кровью истинных королей. Будьте бдительны,  {s14}! Вокруг много тех активно ждет вашей смерти, что бы прервалась линия тех, кто может занять серебрянный трон Пендора.  Прости нас, за то что не сказали тебе раньше. Те, кто подозревают что мы затаились здесь, в Барклае ищут вас. Ваша мать и я вынуждены уйти в подполье, но убийцы и кое кто похуже ищут вас. Берегитесь! Мой совет вам покинуть Барклай и плыть в Пендор. Там опасно, но именно там могут быть найдены ответы и, если повезет, вы сможете вернуть то, что было утеряно." - подпись, Ваш отец. С тяжелым сердцем вы отправляетесь в Пендор...
qstr_The_letter_reads____My|В письме говорится: " {s14}, с тяжелым сердцем я вынужден рассказать вам о том, что предопределило вашу судьбу ещё до вашего рождения. Ваша мать принадлежит к древней знати Пендора и в вас течет кровь Королей Пендора. Я встретил вшу мать когда она убегала от злых сил, которые хотят покончить с кровью истинных королей. Будьте бдительны,  {s14}! Вокруг много тех активно ждет вашей смерти, что бы прервалась линия претендентов на серебрянный трон Пендора.  Прости нас, за то что не сказали тебе раньше. Те, кто подозревают что мы затаились здесь, в Барклае ищут вас. Ваша мать и я вынуждены уйти в подполье, но убийцы и кое кто похуже ищут вас. Берегитесь! Мой совет вам покинуть Барклай и плыть в Пендор. Там опасно, но именно там могут быть найдены ответы и, если повезет, вы сможете вернуть то, что было утеряно." - подпись, Ваш отец. С тяжелым сердцем вы отправляетесь в Пендор...
qstr_The_letter_reads____My_|В письме говорится: " {s14}, с тяжелым сердцем я вынужден рассказать вам о том, что предопределило вашу судьбу ещё до вашего рождения. Ваша мать принадлежит к древней знати Пендора и в вас течет кровь Королей Пендора. В свое время и я получил задание убить ее. Я искал её много лет, а когда нашел она была при смерти, но сжимала в руках пелёнки с вами. Я не смог прервать её жизнь, а тем более вашу. Моих целительских знаний не хватало, что бы ее спасти, поэтому я устроил все так, что бы выглядело будто я её убил. Я забрал деньги и скрылся с вами. Я не прошу прощения у вас за то что сделал, но я  прошу понять, что иногда человек вынужден идти по пути, который он не выбирал. Есть несколько групп здесь, в Барклае, которые ищут меня и вас что бы убить. Я вынужден скрыться, не ищите меня. Мой совет вам покинуть Барклай и плыть в Пендор. Там опасно, но именно там могут быть найдены ответы и, если повезет, вы сможете вернуть то, что было утеряно." - С тяжелым сердцем вы отправляетесь в Пендор...
qstr_The_letter_reads____My_{|В письме говорится: " {s14}, с тяжелым сердцем я вынужден рассказать вам о том, что предопределило вашу судьбу ещё до вашего рождения. Ваша мать принадлежит к древней знати Пендора и в вас течет кровь Королей Пендора. Мы не ваши настоящие родители, однажды в наш дом постучалась женщина с малышом на руках. Она просила спрятать вас. Она была сильно ранена и вскоре умерла. Наших целительских знаний не хватало, что бы ее спасти, мы похоронили её на церковном кладбище. Прошу понять, что мы не рассказывали вам всё это для вашей же безопасности. Сейчас же вынуждены сказать. потому что слышали, что есть люди которые задают вопросы о вас, о наших путешествиях. Возможно это те, кто убил вашу мать.  Мы вынуждены скрыться возможно мы будем в безопасности. Наш совет вам покинуть Барклай и плыть в Пендор. Там опасно, но именно там могут быть найдены ответы и, если повезет, вы сможете вернуть то, что было утеряно. Главное знайте, мы любили и всегда будем любить вас!" - С тяжелым сердцем вы отправляетесь в Пендор...
qstr_Back_to_the_beginnin|Вернуться в начало...
qstr_View_next_segment...|Показать следующую часть...
qstr_^No_food:___{reg7}|^Нет продовольствия: -{reg7}
qstr_^Wage_debt:___{reg6}|^Долг работникам: -{reg6}
qstr_{s2}^{s4}:_Econ:_{re|{s2}^{s4}: Экон: {reg1} - Процвет: {reg2} {s50} 
qstr_Currently_no_locatio|У вас нет владений.
qstr_The_current_fief_inc|Текущий доход феодального поместья: ^ {s2}
qstr_{s2}^{s4}:_{s10}_in_|{s2}^{s4}: {s10} в {reg8} {reg10?дней:часов}{reg9?:}.
qstr_{s2}^{s4}:_Building_|{s2}^{s4}: Постройка {s10} в {reg8} {reg10?дней:часов}{reg9?:}.
qstr_{s2}^{s4}:_No_constr|{s2}^{s4}: Нет строительства.
qstr_Current_construction|Текущее строительство во владении: ^{s2}
qstr_Long_Forgotten|Давно забыто
qstr_Defending_the_King_s|Защищает честь Короля
qstr_The_Dragon_s_Fire_Gr|Огонь Дракона угасает
qstr_The_Windriders_bow_t|Наездники Ветра клонятся от шторма
qstr_The_Shieldwall_is_Pi|Стена щитов пробита
qstr_The_Emperor_s_Will_i|Воля Императора слаба
qstr_A_Fledgeling_Hope_fo|Новая надежда Пендора
qstr_Very_Weak|Очень ослаблено
qstr_Resisting_in_the_Kin|Сопротивление именем короля
qstr_The_Dragon_s_Wings_a|Крылья Дракона поломаны
qstr_The_Windriders_fear_|Наездники Ветра боятся Ветра
qstr_The_Shieldwall_Buckl|Стена щитов сомкнулась
qstr_The_Emperor_s_Will_W|Воля Императора колеблется
qstr_Promising_Madigan_s_|Пророчество Мадигана исполняется
qstr_Weak|Ослаблено
qstr_Strong_under_the_Kin|Сильны под знаменем Короля
qstr_The_Dragon_is_Defian|Дракон не повинуется на севере
qstr_The_Windriders_are_F|Наездников Ветра объединила ярость
qstr_The_Shieldwall_Holds|Стена щитов держится
qstr_The_Emperor_s_Will_is|Воля Императора - закон
qstr_Fulfilling_the_Proph|Воплощающий Пророчество
qstr_{s6}^The_{s1}:_{s2}|{s6}^ {s1}: {s2}
qstr_Training_your_Order_|Тренирует войска вашего ордена.
qstr_On_loan|По займу,
qstr_Appoint_next_marshal|Назначить следующего маршала
qstr_Award_{s12}_as_fief|{s12} как награда.
qstr_No_one|Ни одного
qstr_Selected_faction_is:|Выбранная фракция: {s10}^^{s9}
qstr_You_are_currently_re|Вы сейчас читаете {s8}.
qstr_You_are_not_reading_|Вы ничего не читаете.
qstr__{s9}_^^_You_have_th| {s9} ^^ По праву рождения, вы можете тренировать рыцарей Грифона.
qstr_none|нет
qstr_{s5}_and_{s6}|{s5} и {s6}
qstr_Your_estates_are:_{s|Ваши владения: {s8}.^{s9}
qstr_Honorary_Grandmaster|Достопочтенный Грандмастер
qstr_{s8}__{reg1}_|{s8} ({reg1})
qstr_You_are_a_{s8}_of_th|Вы {s8} ордена {s12}.^{s9}
qstr_You_are_the_sovereig|Вы - {reg63?суверенный Король:суверенная Королева} {s8}, принявшего культуру {s7}.^{s9} ^ У вас {reg1} дворян-рекрутов.
qstr_You_are_a_lord_of_th|Вы - {reg63?Лорд:Леди} в {s8}.^{s9} ^ У вас {reg1} благородных рекрутов.
qstr_You_are_a_Rogue_Lead|Вы - лидер отступников {s8}.^{s9}
qstr_You_are_a_Mercenary_|Вы - наемник на службе у {s8}. ^{s9}
qstr_You_are_a_Mercenary_C|Вы - наемник. ^ {s9}
qstr_{s9}_^_You_won_{reg3|{s9} ^ Вы выиграли {reg33} нолдорский турнир.
qstr_{s9}_^_You_won_{reg33|{s9} ^ Вы выиграли {reg33} нолдорских турниров.
qstr_Current_party_size_l|Текущий предел численности отряда: {reg5}.^^Модификаторы численности отряда:^^Базовый размер: +10^Лидерство: {s2}{reg1}^Обаяние: {s3}{reg2}^Известность: {s4}{reg3}^ВСЕГО: {reg5}
qstr_{s2}^The_{s4}:_{reg1|{s2}^ {s4}: {reg1} ({s33})
qstr_{s2}^|{s2}^
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s33})
qstr_Your_relations_with_|Ваши отношения с фракциями:^{s2}
qstr_Your_relations_with_t|Ваши отношения с орденами:^{s2}
qstr_6_new_units_joined_t|Шесть новых юнитов присоединилось к отряду.
qstr_1_million_xp_receive|1 000 000 единиц опыта получено!!!
qstr_Companion_complaints|Жалобы компаньонов отключены.
qstr_Companion_complaints_|Жалобы компаньонов включены.
qstr_Cheat_mode_has_been_|Режим читов отключён.
qstr_Player_renown_is_inc|Известность игрока возросла на 100.
qstr_Player_honor_is_incr|Честь игрока повысилась на 1 и теперь составляет {reg7}.
qstr_GM_quest_ready:_talk|Задание грандмастера готово: поговорите с {s12} и вас ждет сюрприз.
qstr_Report_back_to_the_O|Сообщить ордену о ваших заметках о необычной активности культа Змеи около {s8}.
qstr_Random_order_of_the_|Случайный орден {s12} создан в замке Кеннет. 10 {s13} были наняты и группа создана.
qstr_Random_order_of_the_{|Случайный Орден {s12} создан в {s14}. 5 {s13} рекрутированы.
qstr_Noldor_castle_access|Замок нолдоров доступен
qstr_Noldor_relation_set_|Отношения с Нолдорами теперь равны 30.
qstr_OFF|ВЫКЛ
qstr_Standard|Обычные
qstr_Special|Особые
qstr_Economy|Экономика
qstr_Politics|Политика
qstr_ERROR|ОШИБКА
qstr_Your_{s12}_have_acqu|Ваши {s12} приобрели новые {s11}!
qstr_10_Order_Knights_and|10 рыцарей ордена и 10 сквайров присоединились к группе.
qstr_{s4}:_{reg0}|{s4}: {reg0}
qstr_##_{s9}_average_stre|## {s9} средняя сила: {reg1}
qstr_####_Overall_average|#### В целом средняя сила: {reg1}
qstr_{s4}:_strength_{reg0|{s4}: сила {reg0}
qstr_Limits_set_to_0_0!|Лимиты установлены на 0-0!
qstr_Limits_set_to_50_50!|Лимиты установлены на 50-50!
qstr_Limits_set_to_100_10|Лимиты установлены на 100-100!
qstr_The_Hundred|Сотня
qstr_The_Hundred_are_upon|Сотня под вашим контролем
qstr_You_have_now_made_en|Вы стали врагом для всех лордов и орденов...посетите пару таверн...
qstr_Daughter_waiting_to_|Дочка старосты ожидает спасения, поговорите с ней.
qstr_Peasants_waiting_to_|Крестьяне ждут эскорта, поговорите со старейшиной.
qstr_Bounties_await_talk_|Награда ждет, обратитесь к дружественному члену ордена.
qstr_Prices_reset.|Сбросить цены.
qstr_Grain_price_in_{s4}:|Цены на зерно в {s4}: {reg1} U {reg2} {reg3} {reg4} A {reg5} {reg6}.
qstr_Bread_price_in_{s4}:|Цены на хлеб в {s4}: {reg1} U {reg2} {reg3} {reg4} A {reg5} {reg6}.
qstr_Villages_per_town:_m|Деревней на город: рынок (предел)^
qstr_{s2}^{s5}:_{reg1}__{|{s2}^{s5}: {reg1} ({reg2})
qstr_{s2}^^Total_villages|{s2}^^Всего деревень: {reg1} (Предел: {reg2})
qstr_{s2}^{s10}:_{reg6}__|{s2}^{s10}: {reg6} (Продукция:{reg3}/{reg4} Цена:{reg5})
qstr_{s5}_{s3}|{s5} {s3}
qstr_Report_for_{s4}:^Eco|Отчет о {s4}:^Экономика: {reg1}^Процветание: {reg2}[{reg4}] {s50}^Неприятности: {reg3}^Рынок деревень: {s3}^{s2}
qstr_{s2}^{s4}:_E:_{reg1}|{s2}^{s4}: Экономика: {reg1} процветание: {reg2}[{reg4}] Неприятности: {reg3}
qstr_Average_prices_in_Pe|Средние цены в Пендоре [Производство/Недостатки]^
qstr_{s2}^{s10}:_{reg6}_[|{s2}^{s10}: {reg6} [{reg12}/{reg13}]
qstr_Noldor_relations_set|Установить отношения с нолдорами на 30
qstr_Noldor_relations_set_|Установить отношения с нолдорами на 15
qstr_Noldor_relations_set_t|Установить отношения с нолдорами на -10
qstr_Noldor_castle_accessi|Замок нолдоров доступен.
qstr_Noldor_quest_reset.|Сбросить нолдорский квест.
qstr_Noldor_tournament_st|Начать турнир у нолдоров
qstr_One_week_s_worth_of_|Через 1 неделю добавить новый инвентарь
qstr_You_have_been_presen|Вы получили в награду изысканный {s21} от консула нолдоров.
qstr_{s8}|{s8}
qstr_Generated_quest_#{re|Генерируемый квест #{reg0} в {s4} - ожидание уведомления
qstr_All_achievements_giv|Получены все достижения. Проверьте отчет.
qstr_All_achievements_cle|Все достижения очищены.
qstr_Notifications_queued|Строка уведомления. Должны вызываться всегда в настоящее время.
qstr_10_Dragon_troops_joi|10 Рыцарей Дракона вступили в партию
qstr_10_Squires_of_the_Li|10 Оруженосцев Льва вступило в партию
qstr_10_Empire_Mortals_jo|10 Смертных Империи вступило в партию
qstr_10_D_Shar_Dustriders|10 Наездников Бури Д'Шар вступило в партию
qstr_10_Lady_Einherjar_jo|10 Леди Эйнхерия вступили в партию
qstr_10_Knights_of_the_Gr|10 Рыцарей Грифона вступило в партию
qstr_10_Knights_and_Talon|10 Рыцарей и Когтей Сокола вступило в партию
qstr_10_Ravenspear_knight|10 Рыцарей Вороного Копья вступило в партию
qstr_10_Radiant_Cross_Kni|10 Рыцарей Сияющего Креста вступило в партию
qstr_10_Rangers_of_the_Cl|10 Рыцарей Звонкого Призыва вступило в партию
qstr_10_Knights_of_the_Da|10 Рыцарей Рассвета вступило в партию
qstr_10_Knights_of_the_Eb|10 Рыцарей Эбеновой Перчатки вступило в партию
qstr_10_Shadow_Legion_Mar|10 Морских пехотинцев Теневого Легиона вступили в партию
qstr_10_Silvermist_Ranger|10 Рейнджеров Серебряного Тумана вступило в партию
qstr_10_Knights_of_Eventi|10 Рыцарей Заката вступило в партию
qstr_Added_Ghost_Lady|Добавлена леди-призрак.
qstr_100_Heroine_Adventur|100 Героинь авантюристок вступило в партию
qstr_100_Hero_Adventurers|100 Героев авантюристов вступило в партию
qstr_100_Jatu_Mercenary_R|100 Налетчиков наемников Джату вступило в партию
qstr_100_Marleons_Heavy_C|100 Марлеонских тяжелых кавалеристов вступило в партию
qstr_100_Ravenstern_Highl|100 Равенстернских горцев вступило в партию
qstr_100_D_Shar_Djaha_Arc|100 Стрелков Джаха Д'Шар вступило в партию
qstr_20_Fierdsvain_Berser|20 Фирдсвейнских берсеркеров вступило в партию
qstr_100_Noldor_Twilight_|100 Сумеречных рыцарей-нолдор вступило в партию
qstr_100_Noldor_Maiden_Ra|100 Дев-рейнджер нолдоров вступили в партию
qstr_100_Noldor_Rangers_j|100 Нолдор-рейнджеров вступило в партию
qstr_100_K_Juda_s_Kajahar|100 Каджахар К'Джуды вступило в партию
qstr_100_Doomguides_joine|100 Ведущих к Гибели вступили в партию
qstr_100_Omen_Seekers_joi|100 Ищущих знамения вступили в партию
qstr_A_specialty_troop_ha|Специальный(особый) отряд вступил в партию
qstr_100_Dread_Legion_Inf|100 Пехотинцев Легиона Страха вступило в партию
qstr_100_Anaconda_Knights|100 Рыцарей Анаконды вступило в партию
qstr_100_Fallen_Revenants|100 Ревенантов вступило в партию
qstr_100_Demonic_Magni_jo|100 Демонических Магнусов вступило в партию
qstr_100_Heretic_Invokers|100 Заклинателей Еретиков вступило в партию
qstr_A_Singalian_company_|Банда сингалийцев присоединилась к отряду.
qstr_A_Veccavian_company_|Виккавианская компания присоединилась к вашей партии
qstr_A_Melitine_company_h|Компания Мелитайна присоединилась к вашей партии
qstr_A_Sarleon_Company_ha|Сарлеонская Компания вступила в партию
qstr_A_Ravenstern_Company|Равенстернская компания присоединилась к вашей партии
qstr_A_D_Shar_Company_joi|Компания Д'Шар присоединилась к вашей партии
qstr_A_Fierdsvain_Company|Фирдсвейнская компания присоединилась к вашей партии
qstr_An_Empire_Company_jo|Имперская компания присоединилась к вашей партии
qstr_A_Pendor_Company_has|Пендорская компания присоединилась к вашей партии
qstr_Patrolling_Kick_Ass_|Незабываемый рыцарский патруль
qstr_Eventide_Knight_Patr|Вызвать Патруль Рыцарей Заката
qstr_Dawn_Knight_Patrol_s|Вызвать Патруль Рыцарей Рассвета
qstr_Ebony_Knight_Patrol_|Вызвать Патруль Рыцарей Эбеновой Перчатки
qstr_Vanskerries_spawned|Вызвать Ванскерри
qstr_Heretics_spawned|Вызвать Еретиков
qstr_Snake_Cult_spawned|Вызвать Культ Змеи
qstr_Mystmountains_spawne|Вызвать Армию Мглистых гор
qstr_Jatu_spawned|Вызвать Джату
qstr_Noldor_Patrol_spawne|Вызвать патруль нолдоров
qstr_Inquisition_Army_spa|Вызвать армию инквизиции
qstr_Three_Seers_spawned|Вызвать Трех Провидиц
qstr_Alaric_Von_Brouhaha_|Вызвать Аларика фон Сенсация
qstr_Boris_the_Raven_spaw|Вызвать Сэра Бориса-Ворона
qstr_Burilgi_the_Usurper_|Вызвать Берилджи Узурпатора
qstr_Dread_Legion_spawned|Вызвать Легион Страха
qstr_Eyegrim_the_Devourer|Вызвать Айгрима Пожирателя
qstr_Oswald_de_Fleur_spaw|Вызвать Освальда де Флер
qstr_Sheik_Shalavan_spawn|Вызвать Шейха Шалаван
qstr_Wolfbode_the_Slayer_|Вызвать Волка-Предвестника-Убийцу
qstr_Syla_Uzas_spawned|Вызвать Сила Узас
qstr_Griffonsword_spawned|Вызвать Мерегана Кирлик
qstr_Kodan_Ironsword_spaw|Вызвать Кодана Железный Меч
qstr_Aeldarian_spawned|Вызвать Аелдариана
qstr_Ithilrandir_spawned|Вызвать Изилрандира
qstr_K_Juda_the_Ravager_s|Вызвать К'Джуду Разрушителя
qstr_Warlord_Zulkar_spawn|Вызвать Военачальника Зулкар
qstr_Obrist_Heynrich_spaw|Вызвать Генриха Обриста
qstr_Verante_Kruus_spawne|Вызвать Веранте Круус
qstr_Rufio_of_Barclay_spa|Вызвать Руфио Винченте де Вильявисьосиа
qstr_Sebastokrator_Kaspax|Вызвать Себастократора Каспакс
qstr_Holy_Inquisitor_Rasm|Вызвать Святого инквизитора Расмуса Деватича
qstr_Toblik_s_Veccavian_R|Виккавийские ренегаты Тоблика созданы
qstr_ON|ВКЛ
qstr_Evil_Twins|Злобные Двойники
qstr_Evil_twin_party_spaw|Вызвать Злобных двойников!
